5550045	0005550045B+17_04_14+39533+86.18
5550046	0005550046A+17_03_21+38068+82.25
5550046	0005550046A+17_03_24+23212+83.85
5550046	0005550046B+17_03_21+59309+82.73
5550046	0005550046B+17_03_24+29917+85.37
5550046	5550046A+17_03_17+90+28.82
5550046	5550046B+17_03_17+46+29.69
5550047	0005550047A+17_03_21+36609+82.55
5550047	0005550047A+17_03_24+20609+85.2
5550047	0005550047B+17_03_21+26071+81.24
5550047	0005550047B+17_03_24+13423+82.54
5550048	5550048+17_05_16+20177+90.15
5550049	5550049A+17_04_21+30935+76.57
5550049	5550049B+17_04_21+27972+73.7
5550050	0005550050A+17_03_21+27269+83.1
5550050	0005550050A+17_03_24+21847+84.33
5550050	0005550050B+17_03_21+40164+82.85
5550050	0005550050B+17_03_24+25864+85.74
5550050	5550050A+17_03_17+18+30.97
5550050	5550050B+17_03_17+16+30.37
5550051	5550051+17_06_05+19205+53.73
5550051	5550051+17_06_13+10397+78.25
5550051	5550051+17_06_23+1452+89.86
5550052	5550052A+17_04_21+24755+78.74
5550052	5550052B+17_04_21+22245+79.43
5550053	5550053+17_06_23+64853+87.11
5550054	5550054A+17_04_21+27349+79.08
5550054	5550054B+17_04_21+22924+78.13
5550055	0005550055B+17_04_14+23845+86.18
5550056	0005550056A+17_03_21+30230+82.73
5550056	0005550056A+17_03_24+19018+84.14
5550056	0005550056B+17_03_21+29524+82.13
5550056	0005550056B+17_03_24+18252+84.37
5550056	5550056A+17_03_17+580+31.57
5550056	5550056B+17_03_17+826+31.33
5550057	0005550057B+17_04_14+57434+85
5550058	5550058A+17_04_21+25625+79.35
5550058	5550058B+17_04_21+28004+77.29
5550059	5550059A+17_04_21+14528+73.79
5550059	5550059B+17_04_21+14157+73.73
5550060	5550060A+17_04_21+30510+79.2
5550060	5550060B+17_04_21+22311+78.44
5550061	0005550061A+17_03_21+52862+82.02
5550061	0005550061A+17_03_24+32431+82.78
5550061	0005550061B+17_03_21+51484+82.62
5550061	0005550061B+17_03_24+26336+84.67
5550061	5550061A+17_03_17+115+27.87
5550061	5550061B+17_03_17+37+30.87
5550062	0005550062A+17_03_21+48881+81.66
5550062	0005550062A+17_03_24+27724+83.78
5550062	0005550062B+17_03_21+26346+80.61
5550062	0005550062B+17_03_24+13747+80.79
5550063	0005550063B+17_04_14+34336+85.33
5550064	5550064+17_06_05+11482+51.96
5550064	5550064+17_06_13+14407+76.96
5550064	5550064+17_06_23+1000+87.44
5550065	0005550065A+17_03_21+31303+84.23
5550065	0005550065A+17_03_24+25404+85.26
5550065	0005550065B+17_03_21+39958+83.82
5550065	0005550065B+17_03_24+25724+86.56
5550065	5550065A+17_03_17+20+29.83
5550065	5550065B+17_03_17+12+29.36
5550066	0005550066A+17_03_21+15819+82.62
5550066	0005550066A+17_03_24+12702+83.22
5550066	0005550066B+17_03_21+25531+82.51
5550066	0005550066B+17_03_24+16365+84.79
5550066	5550066A+17_03_17+9+31.64
5550066	5550066B+17_03_17+12+28.29
5550067	0005550067A+17_03_21+52235+81.34
5550067	0005550067A+17_03_24+32732+81.08
5550067	0005550067B+17_03_21+55257+80.52
5550067	0005550067B+17_03_24+33653+81.43
5550067	5550067A+17_03_17+985+29.73
5550067	5550067B+17_03_17+1613+28.98
5550068	0005550068B+17_04_14+23143+83.39
5550069	0005550069B+17_04_14+27513+84.94
5550079	5550079+17_05_16+60810+84.41
5550080	5550080+17_05_16+29502+84.98
5550083	5550083+17_06_05+54081+58.44
5550083	5550083+17_06_13+10572+82.94
5550083	5550083+17_06_23+545+89.08
5550085	5550085+17_05_16+59336+90.19
5550085	5550085-LZ-A+17_06_02+30964+85.23
5550085	5550085-LZ-B+17_06_02+30047+81.02
5550085	5550085-LZ-C+17_06_02+15278+85.14
5550085	5550085-LZ-D+17_06_02+15401+81.26
5550085	5550085-X-A+17_06_02+21951+81.49
5550085	5550085-X-B+17_06_02+28887+83.52
5550085	5550085-X-C+17_06_02+14736+81.78
5550085	5550085-X-D+17_06_02+13620+83.38
5550085	5550085-XZ-A+17_06_02+28715+84.47
5550085	5550085-XZ-B+17_06_02+19589+73.12
5550085	5550085-XZ-C+17_06_02+14032+84.33
5550085	5550085-XZ-D+17_06_02+11216+73.52
5550087	5550087+17_05_16+83026+88.37
5550092	5550092+17_06_05+28406+52.97
5550092	5550092+17_06_13+18473+80.76
5550092	5550092+17_06_23+796+89.39
5550093	5550093+17_06_05+99147+60.69
5550093	5550093+17_06_13+8427+75.03
5550093	5550093+17_06_23+815+91.13
5550093	5550093-LZ-A+17_06_02+31956+86.13
5550093	5550093-LZ-B+17_06_02+29602+79.53
5550093	5550093-LZ-C+17_06_02+16932+85.87
5550093	5550093-LZ-D+17_06_02+13478+80.43
5550093	5550093-X-A+17_06_02+24633+83.96
5550093	5550093-X-B+17_06_02+20545+83.69
5550093	5550093-X-C+17_06_02+12274+84.05
5550093	5550093-X-D+17_06_02+10973+83.88
5550093	5550093-XZ-A+17_06_02+33321+86.7
5550093	5550093-XZ-B+17_06_02+25854+77.44
5550093	5550093-XZ-C+17_06_02+12349+72.16
